alarm_id,alarm_name,alarm_text,alarm_code,ce_on,ce_off
358,,FACILITY WATER IN-PRESSURE HIGH,2,,
359,,FACILITY WATER IN-PRESSURE LOW,2,,
360,,FACILITY WATER FLOW LOW,2,,
361,,SYSTEM WATER LEAK,2,,
362,,Facility water under temp(wrn),2,,
363,,Facility water under temp(alm),2,,
364,,Facility water over temp(wrn),2,,
365,,Facility water over temp(alm),2,,
366,,System EMG on,2,,
367,,KM1 MC ERROR(DC1/2/3),2,,
368,,KM2 MC ERROR(DC4/5/6),2,,
369,,KM3 MC ERROR(DC7/8/9),2,,
370,,KM4 MC ERROR(DC10/11),2,,
371,,KM5 MC ERROR(Cryo Trap),2,,
372,,KM6 MC ERROR(RF),2,,
373,,KM17 CHB1 HT  MC ERROR,2,,
374,,KM18 Cooling Plate HT  MC ERROR,2,,
375,,CHB1 HT MC ERROR,2,,
376,,C1 HT1(inside); temp ctl fau,2,,
377,,C1 HT2(outside); temp ctl fau,2,,
378,,C1 operation tmp;tmp ctl fau,2,,
379,,Facility water tmp;tmp ctl fau,2,,
380,,CHB33 cool plate;tmp ctl fau,2,,
381,,CHB35 cool plate;tmp ctl fau,2,,
382,,CHB37 cool plate;tmp ctl fau,2,,
383,,CHB39 cool plate;tmp ctl fau,2,,
384,,"C1 HT1(inside),O TMP1(WRN)",2,,
385,,"C1 HT1(inside),O TMP2(ALM)",2,,
386,,"C1 HT2(outside),O TMP1(WRN)",2,,
387,,"C1 HT2(outside),O TMP2(ALM)",2,,
388,,C1 operation ovrT warning,2,,
389,,C1 operation ovrT alarm,2,,
390,,C1 body over temp,2,,
391,,SYSTEM WARM UP INVALID,2,,
392,,EQ MAINTENANCE MESSAGE,2,,
393,,SHIELDING MAINTENANCE MESSAGE,2,,
394,,OUT CONVEYOR NOT SWITCH ON,2,,
395,,IN UP OVERTIME,2,,
396,,IN DOWN OVERTIME,2,,
397,,OUT UP OVERTIME,2,,
398,,OUT DOWN OVERTIME,2,,
399,,CHB3 TRAY CLEAR INVALID,2,,
400,,Cooling system(Chiller)  1 alarm,2,,
401,,Cooling system(Chiller)  2 alarm,2,,
402,,CHB1X SM ERROR,2,,
403,,CHB1Y SM ERROR,2,,
404,,CHB2 SM ERROR,2,,
405,,CHB31 SM ERROR,2,,
406,,CHB33 SM ERROR,2,,
407,,CHB34 SM ERROR,2,,
408,,CHB35 SM ERROR,2,,
409,,CHB36 SM ERROR,2,,
410,,CHB37 SM ERROR,2,,
411,,CHB38 SM ERROR,2,,
412,,CHB39 SM ERROR,2,,
413,,CHB311 SM ERROR,2,,
414,,CHB4X SM ERROR,2,,
415,,CHB4Y SM ERROR,2,,
416,,CHB2 PROCESS GAS OVR HI LIMIT,2,,
417,,CHB2 PROCESS GAS UNDER LO LIMIT,2,,
418,,CHB3 PROCESS GAS OVR HI LIMIT,2,,
419,,CHB3 PROCESS GAS UNDER LO LIMIT,2,,
420,,FDOOR OPEN(CHB1-CHB2) WARN,2,,
421,,FDOOR OPEN(CHB31-CHB33)WARN,2,,
422,,FDOOR OPEN(CHB34-CHB35)WARN,2,,
423,,FDOOR OPEN(CHB36-CHB37)WARN,2,,
424,,FDOOR OPEN(CHB38-CHB39)WARN,2,,
425,,FDOOR OPEN(CHB311-CHB4)WARN,2,,
426,,IN DOOR OPEN WARN,2,,
427,,OUT DOOR OPEN WARN,2,,
428,,E-BOX DOOR OPEN WARN,2,,
